fold_id,n_train,n_val,accuracy,macro_precision,macro_recall,macro_f1,fold_seconds,precision_product_inquiry,recall_product_inquiry,f1_product_inquiry,precision_technical_issue,recall_technical_issue,f1_technical_issue,precision_billing,recall_billing,f1_billing,precision_account_support,recall_account_support,f1_account_support
0,633,167,0.7964071856287425,0.625,0.75,0.6666666666666666,609.6544880867004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
1,633,167,0.7365269461077845,0.8226480836236933,0.7941176470588236,0.7694215319030862,614.2041370868683,1.0,1.0,1.0,0.8048780487804879,0.5,0.616822429906542,0.4857142857142857,1.0,0.6538461538461539,1.0,0.6764705882352942,0.8070175438596491
2,666,134,0.8507462686567164,0.9074074074074074,0.8484848484848485,0.8344861660079052,622.1411261558533,1.0,0.3939393939393939,0.5652173913043478,0.6296296296296297,1.0,0.7727272727272727,1.0,1.0,1.0,1.0,1.0,1.0
3,634,166,0.7469879518072289,0.8064971751412429,0.7731729055258467,0.7389142217509131,593.3812494277954,0.6666666666666666,0.9411764705882353,0.7804878048780488,1.0,0.5151515151515151,0.68,1.0,0.6363636363636364,0.7777777777777778,0.559322033898305,1.0,0.717391304347826
4,634,166,0.8554216867469879,0.8504011824324325,0.8538324420677362,0.851679306608884,594.0110611915588,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.78125,0.7575757575757576,0.7692307692307693,1.0,1.0,1.0,0.890625,0.8636363636363636,0.8769230769230769
